Date, Tweets_Mentions
2019-05-05,737
2019-05-06,686
2019-05-07,867
2019-05-08,950
2019-05-09,1205
2019-05-10,1175
2019-05-11,778
2019-05-12,671
2019-05-13,1156
2019-05-14,1135
2019-05-15,1043
2019-05-16,958
2019-05-17,955
2019-05-18,774
2019-05-19,444
2019-05-20,1094
2019-05-21,1196
2019-05-22,1226
2019-05-23,1000
2019-05-24,901
2019-05-25,745
2019-05-26,643
2019-05-27,982
2019-05-28,1375
2019-05-29,1423
2019-05-30,1229
2019-05-31,859
2019-06-01,557
2019-06-02,556
2019-06-03,857
2019-06-04,937
2019-06-05,987
2019-06-06,814
2019-06-07,1162
2019-06-08,758
2019-06-09,579
2019-06-10,925
2019-06-11,973
2019-06-12,1313
2019-06-13,1394
2019-06-14,850
2019-06-15,631
2019-06-16,610
2019-06-17,766
2019-06-18,897
2019-06-19,959
2019-06-20,871
2019-06-21,1109
2019-06-22,2225
2019-06-23,3361
2019-06-24,1637
2019-06-25,913
2019-06-26,992
2019-06-27,939
2019-06-28,974
2019-06-29,642
2019-06-30,608
2019-07-01,1005
2019-07-02,913
2019-07-03,1087
2019-07-04,1206
2019-07-05,1007
2019-07-06,986
2019-07-07,617
2019-07-08,821
2019-07-09,980
2019-07-10,1095
2019-07-11,926
2019-07-12,769
2019-07-13,727
2019-07-14,487
2019-07-15,769
2019-07-16,1165
2019-07-17,1187
2019-07-18,884
2019-07-19,1340
2019-07-20,789
2019-07-21,882
2019-07-22,1126
2019-07-23,970
2019-07-24,859
2019-07-25,941
2019-07-26,822
2019-07-27,728
2019-07-28,603
2019-07-29,710
2019-07-30,783
2019-07-31,785
2019-08-01,772
2019-08-02,756
2019-08-03,872
2019-08-04,751
2019-08-05,780
2019-08-06,872
2019-08-07,808
2019-08-08,849
2019-08-09,757
2019-08-10,579
2019-08-11,503
2019-08-12,873
2019-08-13,1024
2019-08-14,827
2019-08-15,702
2019-08-16,736
2019-08-17,579
2019-08-18,567
2019-08-19,771
2019-08-20,777
2019-08-21,831
2019-08-22,723
2019-08-23,832
2019-08-24,611
2019-08-25,628
2019-08-26,682
2019-08-27,886
2019-08-28,1228
2019-08-29,1075
2019-08-30,1797
2019-08-31,1107
2019-09-01,1245
2019-09-02,1604
2019-09-03,1314
2019-09-04,1119
2019-09-05,1246
2019-09-06,932
2019-09-07,1443
2019-09-08,896
2019-09-09,664
2019-09-10,1044
2019-09-11,878
2019-09-12,1067
2019-09-13,1373
2019-09-14,783
2019-09-15,744
2019-09-16,997
2019-09-17,870
2019-09-18,1147
2019-09-19,1038
2019-09-20,769
2019-09-21,519
2019-09-22,554
2019-09-23,834
2019-09-24,887
2019-09-25,996
2019-09-26,963
2019-09-27,868
2019-09-28,687
2019-09-29,737
2019-09-30,875
2019-10-01,1781
2019-10-02,2536
2019-10-03,1473
2019-10-04,1168
2019-10-05,827
2019-10-06,667
2019-10-07,1133
2019-10-08,1372
2019-10-09,1532
2019-10-10,1264
2019-10-11,1229
2019-10-12,765
2019-10-13,577
2019-10-14,890
2019-10-15,1255
2019-10-16,1167
2019-10-17,1079
2019-10-18,1128
2019-10-19,782
2019-10-20,818
2019-10-21,1329
2019-10-22,1457
2019-10-23,1211
2019-10-24,1635
2019-10-25,1232
2019-10-26,1083
2019-10-27,899
2019-10-28,1091
2019-10-29,1177
2019-10-30,1346
2019-10-31,2040
2019-11-01,1133
2019-11-02,910
2019-11-03,611
2019-11-04,1103
2019-11-05,1656
2019-11-06,973
2019-11-07,1008
2019-11-08,1057
2019-11-09,653
2019-11-10,596
2019-11-11,798
2019-11-12,1106
2019-11-13,985
2019-11-14,1123
2019-11-15,978
2019-11-16,1010
2019-11-17,1382
2019-11-18,1072
2019-11-19,1132
2019-11-20,1158
2019-11-21,948
2019-11-22,956
2019-11-23,934
2019-11-24,916
2019-11-25,2249
2019-11-26,1731
2019-11-27,1590
2019-11-28,1540
2019-11-29,1481
2019-11-30,871
2019-12-01,838
2019-12-02,1219
2019-12-03,1176
2019-12-04,1225
2019-12-05,1068
2019-12-06,1034
2019-12-07,671
2019-12-08,712
2019-12-09,1095
2019-12-10,1115
2019-12-11,891
2019-12-12,771
2019-12-13,800
2019-12-14,563
2019-12-15,549
2019-12-16,768
2019-12-17,927
2019-12-18,949
2019-12-19,911
2019-12-20,1022
2019-12-21,604
2019-12-22,573
2019-12-23,1029
2019-12-24,1196
2019-12-25,700
2019-12-26,595
2019-12-27,558
2019-12-28,613
2019-12-29,751
2019-12-30,829
2019-12-31,1523
2020-01-01,628
2020-01-02,815
2020-01-03,657
2020-01-04,495
